artist,title,pop_date,pop_peakPos,pop_lastPos,pop_weeks,pop_rank,pop_change,rnb_date,rnb_peakPos,rnb_lastPos,rnb_weeks,rnb_rank,rnb_change
Murphy Lee Featuring Jermaine Dupri,Wat Da Hook Gon Be,4/3/04,29,0,12,38,Re-Entry,2/28/04,11,45,27,47,-2
The Weeknd Featuring Daft Punk,I Feel It Coming,3/18/17,4,5,14,4,1,3/18/17,5,6,15,6,0
Lil Wayne Featuring Static Major,Lollipop,9/6/08,5,25,20,24,1,9/20/08,1,37,26,49,-12
Coldplay,Paradise,6/30/12,35,35,9,35,0,3/28/15,34,43,3,44,-1
DJ Snake Featuring Justin Bieber,Let Me Love You,2/4/17,2,8,23,12,-4,7/30/05,37,33,43,44,-11
Wiz Khalifa Featuring Charlie Puth,See You Again,9/5/15,4,15,20,17,-2,10/10/15,1,10,29,10,0
Tracy Chapman,Give Me One Reason,10/12/96,2,19,29,20,-1,9/21/96,35,48,20,48,0
Teddy Geiger,These Walls,9/30/06,34,34,4,36,-2,4/4/15,34,0,1,34,New
Kanye West Featuring Syleena Johnson,All Falls Down,7/3/04,22,22,7,31,-9,8/28/04,4,44,28,49,-5
Justin Timberlake Featuring Jay Z,Suit & Tie,6/15/13,4,24,20,26,-2,10/5/13,2,20,37,21,-1
Hurricane Chris,A Bay Bay,9/22/07,25,30,8,39,-9,9/22/07,48,36,22,44,-8
Garbage,Special,6/19/99,18,32,15,40,-8,9/28/91,2,22,20,35,-13
Akon Featuring Styles P.,Locked Up,11/20/04,29,30,6,32,-2,12/25/04,6,40,36,46,-6
Goo Goo Dolls,Slide,7/10/99,1,17,39,19,-2,3/18/17,36,0,1,13,Hot Shot Debut
Khia Featuring DSD,"My Neck, My Back",8/31/02,36,36,4,37,-1,8/24/02,20,32,16,44,-12
R. Kelly,I Can't Sleep Baby (If I),12/28/96,17,35,24,38,-3,12/21/96,1,47,24,47,0
Will Smith,Gettin  Jiggy Wit It,7/18/98,5,14,29,15,-1,4/25/98,44,44,20,45,-1
City High Featuring Eve,Caramel,4/13/02,12,34,18,37,-3,2/9/02,9,39,21,45,-6
Bruno Mars,24K Magic,3/4/17,5,17,20,20,-3,3/18/17,3,8,15,10,-2
The-Dream,I Luv Your Girl,9/13/08,39,0,1,39,New,10/18/08,3,36,32,43,-7
Menudo,Lost,8/30/08,36,37,5,36,1,4/4/09,35,40,35,48,-8
Justin Timberlake,Rock Your Body,9/13/03,1,33,26,36,-3,5/17/03,45,45,6,45,0
Justin Timberlake,TKO,2/15/14,12,0,18,40,Re-Entry,2/15/14,9,30,20,31,-1
R. Kelly Or Bow Wow (Featuring T.I. & T-Pain),I'm A Flirt,6/9/07,38,38,2,39,-1,7/28/07,33,35,27,47,-12
Darren Hayes,Insatiable,4/6/02,27,28,8,30,-2,2/22/92,3,29,17,45,-16
Ne-Yo,Miss Independent,2/21/09,10,30,20,31,-1,5/9/09,1,40,40,42,-2
Fefe Dobson,Everything,3/20/04,39,40,2,39,1,4/25/98,5,49,31,49,0
Lindsay Lohan,Over,3/5/05,39,0,1,39,New,9/25/10,2,47,28,49,-2
Nelly Featuring Jaheim,My Place,11/6/04,9,0,14,40,Re-Entry,1/22/05,4,48,27,50,-2
Drake Featuring Lil Wayne,The Motto,7/7/12,25,33,17,37,-4,8/18/12,1,39,40,47,-8
Sean Kingston,Beautiful Girls,10/20/07,2,23,20,24,-1,9/22/07,12,27,13,41,-14
Jonn Hart Featuring IamSU!,Who Booty,3/9/13,33,31,9,35,-4,3/30/13,34,24,20,29,-5
B.o.B Featuring Rivers Cuomo,Magic,11/20/10,12,34,18,37,-3,6/9/12,27,44,37,49,-5
Ne-Yo,So Sick,5/13/06,1,22,20,24,-2,6/24/06,3,46,32,48,-2
Lil' Kim Featuring 50 Cent,Magic Stick,10/18/03,7,35,18,40,-5,9/27/03,2,45,26,45,0
Jordin Sparks Duet With Chris Brown,No Air,7/26/08,2,16,25,19,-3,8/9/08,4,43,21,47,-4
Enrique Iglesias Featuring Pitbull,I Like It,11/27/10,25,11,25,15,-4,6/1/13,48,49,5,50,-1
Ludacris Featuring Nicki Minaj,My Chick Bad,5/22/10,39,0,1,39,New,8/28/10,2,38,27,44,-6
Jason Derulo Featuring 2 Chainz,Talk Dirty,6/21/14,1,10,22,13,-3,8/2/14,2,8,33,7,1
Sean Paul,Temperature,8/5/06,1,18,24,20,-2,6/10/06,5,34,25,46,-12
"Shaggy Featuring Ricardo RikRok"" Ducent""",It Wasn t Me,12/16/00,4,8,6,4,4,5/27/00,44,49,12,48,1
Justin Timberlake Featuring T.I.,My Love,3/17/07,1,18,27,20,-2,5/9/09,36,36,9,46,-10
Mary J. Blige,Be Without You,6/17/06,1,16,20,18,-2,4/14/07,1,40,75,45,-5
Jordan Knight,Give It To You,7/24/99,13,32,15,39,-7,3/20/93,48,50,12,48,2
Tevin Campbell,I m Ready,7/23/94,13,32,17,40,-8,8/20/94,2,37,26,46,-9
Dr. Dre Featuring Eminem,Forgot About Dre,5/20/00,32,32,5,38,-6,4/29/00,14,28,20,32,-4
Drake Featuring Rihanna,Take Care,6/16/12,8,23,20,23,0,6/23/12,26,35,30,47,-12
T.I. Featuring Rihanna,Live Your Life,3/28/09,1,20,22,20,0,4/11/09,2,45,29,47,-2
R. Kelly,The World's Greatest,3/23/02,24,38,12,39,-1,3/2/02,31,44,14,42,2
Naughty By Nature Featuring 3LW,Feels Good (Don't Worry Bout A Thing),8/31/02,34,37,5,34,3,6/15/02,25,41,14,43,-2
The Weeknd Featuring Daft Punk,Starboy,2/25/17,3,13,21,13,0,3/18/17,1,10,24,11,-1
Macklemore & Ryan Lewis Featuring Wanz,Thrift Shop,5/25/13,1,10,22,14,-4,10/26/13,1,18,54,21,-3
Jim Jones,We Fly High,3/17/07,32,36,8,39,-3,3/24/07,4,39,30,48,-9
Collective Soul,Shine,11/26/94,4,18,26,22,-4,11/19/16,46,0,1,46,New
Beyonce Featuring Sean Paul,Baby Boy,2/28/04,1,27,26,28,-1,2/14/04,1,47,33,46,1
Bow Wow Featuring Chris Brown & Johnta Austin,Shortie Like Mine,4/7/07,18,35,19,37,-2,3/3/07,2,42,23,49,-7
Big Sean Featuring Chris Brown,My Last,8/13/11,40,0,1,40,New,11/19/11,4,38,38,44,-6
Jonas Brothers,Paranoid,8/1/09,34,29,9,35,-6,5/31/14,9,17,26,18,-1
V.I.C.,Get Silly,8/16/08,36,38,4,38,0,8/16/08,13,40,20,49,-9
Hi-Five,She s Playing Hard To Get,11/21/92,10,28,8,35,-7,12/5/92,2,33,20,42,-9
Deborah Cox,Nobody s Supposed To Be Here,4/3/99,32,33,7,36,-3,5/15/99,1,45,33,48,-3
D4L,Laffy Taffy,3/11/06,14,36,16,36,0,3/4/06,15,42,29,46,-4
Aaliyah,Miss You,5/31/03,10,30,15,38,-8,7/26/03,1,50,37,41,9
Chris Brown,Fine China,6/29/13,29,29,7,32,-3,8/31/13,10,37,20,45,-8
Selena Gomez,Slow Down,1/18/14,7,26,20,29,-3,10/20/12,45,60,22,45,15
Kanye West Featuring Jamie Foxx,Gold Digger,2/25/06,1,18,24,19,-1,2/18/06,14,43,32,45,-2
Blu Cantrell,Hit 'Em Up Style (Oops!),1/12/02,1,26,26,24,2,8/25/01,6,34,21,49,-15
Tinashe Featuring Chris Brown,Player,1/30/16,34,39,6,40,-1,1/30/16,39,39,11,45,-6
Ariana Grande Featuring Mac Miller,The Way,8/31/13,12,35,20,31,4,12/1/01,15,42,30,50,-8
Shai,Baby I m Yours,11/6/93,12,18,23,20,-2,10/30/93,19,33,24,45,-12
Beyonce,Sweet Dreams,2/6/10,5,16,27,20,-4,12/26/09,48,72,13,49,23
Destiny's Child Featuring T.I. & Lil Wayne,Soldier,5/21/05,4,39,25,39,0,1/3/15,22,0,1,22,New
Jennifer Lopez,Get Right,3/12/05,18,27,8,38,-11,4/23/05,38,54,14,47,7
Eminem,Without Me,10/12/02,1,32,22,36,-4,10/12/13,26,40,20,49,-9
Ludacris Featuring Mary J. Blige,Runaway Love,5/5/07,19,35,17,38,-3,4/14/07,15,35,22,43,-8
Drake,Fake Love,3/18/17,16,18,13,23,-5,3/18/17,4,7,19,9,-2
Zedd Featuring Hayley Williams,Stay The Night,3/8/14,6,19,20,25,-6,1/15/00,20,43,20,48,-5
Ludacris,Roll Out (My Business),4/27/02,23,26,9,33,-7,3/30/02,7,31,23,44,-13
Jay Z Featuring Justin Timberlake,Holy Grail,11/30/13,32,10,20,16,-6,1/18/14,35,8,27,9,-1
Fergie Featuring Ludacris,Glamorous,7/14/07,2,17,24,19,-2,6/16/07,41,61,11,48,13
Rob Thomas,Someday,5/1/10,30,34,9,36,-2,4/13/91,3,18,16,35,-17
Macy Gray,I Try,8/12/00,1,20,26,21,-1,7/6/91,13,13,17,39,-26
Rihanna,Pon de Replay,11/26/05,2,20,23,22,-2,10/8/05,24,28,18,47,-19
Arrested Development,Mr. Wendal,6/19/93,10,35,21,39,-4,5/22/93,6,34,23,42,-8
TLC,Creep,6/17/95,39,33,26,34,-1,6/3/95,1,39,30,43,-4
David Guetta Featuring Sam Martin,Dangerous,1/24/15,23,28,14,35,-7,9/20/08,50,57,16,50,7
Akon,Angel,12/4/10,31,32,7,34,-2,10/3/15,46,46,3,50,-4
Robin Thicke Featuring T.I. + Pharrell,Blurred Lines,10/19/13,1,10,21,11,-1,2/22/14,46,10,46,10,0
Lil Jon & The East Side Boyz Featuring Ying Yang Twins,Get Low,3/13/04,10,33,26,39,-6,5/1/04,2,48,56,49,-1
Desiigner,Panda,7/23/16,21,32,11,34,-2,10/29/16,1,9,34,10,-1
Miguel,Adorn,2/2/13,35,35,9,38,-3,6/1/13,1,22,55,22,0
Angie Martinez Featuring Lil' Mo & Sacario,If I Could Go!,2/8/03,11,34,24,39,-5,10/26/02,26,38,22,50,-12
Jennifer Lopez Featuring Fat Joe,Hold You Down,5/7/05,27,28,7,32,-4,2/14/15,47,18,25,19,-1
Theory Of A Deadman,All Or Nothing,6/26/10,40,40,2,40,0,5/28/94,33,38,19,44,-6
David Guetta Featuring Nicki Minaj,Turn Me On,5/12/12,4,13,20,16,-3,9/25/04,20,39,23,50,-11
Ludacris Featuring Pharrell,Money Maker,2/17/07,5,22,20,25,-3,1/27/07,1,43,26,48,-5
Nelly Furtado Featuring Timbaland,Promiscuous,11/18/06,1,19,27,20,-1,9/23/06,22,40,15,48,-8
Cherish,Unappreciated,2/3/07,28,29,9,32,-3,1/27/07,14,39,21,47,-8
"P. Diddy & Ginuwine Featuring Loon, Mario Winans & Tammy Ruggeri",I Need A Girl (Part Two),12/7/02,10,36,19,38,-2,11/16/02,33,38,27,49,-11
Natasha Bedingfield Featuring Sean Kingston,Love Like This,3/8/08,10,24,20,26,-2,1/1/11,31,40,29,47,-7
Michael Jackson & Justin Timberlake,Love Never Felt So Good,7/19/14,29,34,7,37,-3,9/27/14,5,23,20,25,-2
Snow,Informer,6/12/93,12,31,14,39,-8,5/15/93,10,26,21,41,-15
Ne-Yo Featuring Juicy J,She Knows,4/11/15,19,24,12,32,-8,4/18/15,24,15,26,17,-2
TLC,Diggin' On You,4/6/96,5,35,24,39,-4,3/16/96,7,43,20,49,-6
Alicia Keys,No One,4/12/08,1,18,23,19,-1,5/31/08,1,48,39,48,0
Mims,Like This,10/27/07,24,0,11,40,Re-Entry,9/29/07,7,49,29,50,-1
Debelah Morgan,Dance With Me,2/24/01,8,30,26,29,1,12/8/01,27,34,23,45,-11
Alicia Keys Featuring Nicki Minaj,Girl On Fire,4/13/13,10,34,20,37,-3,5/18/13,2,22,36,25,-3
Black Eyed Peas,Shut Up,12/6/03,30,32,6,40,-8,7/29/00,25,37,20,37,0
Iggy Azalea Featuring Jennifer Hudson,Trouble,5/2/15,34,34,7,37,-3,6/6/15,34,47,10,49,-2
Mary J. Blige,Real Love,2/20/93,8,35,18,37,-2,5/19/12,32,41,31,44,-3
Belly Featuring The Weeknd,Might Not,5/28/16,40,0,1,40,Hot Shot Debut,6/25/16,21,26,20,28,-2
BLACKstreet,Take Me There,4/17/99,13,37,19,39,-2,2/20/99,10,26,18,39,-13
Beyonce,Irreplaceable,4/28/07,1,19,24,20,-1,5/5/07,1,42,27,42,0
Pretty Ricky,Grind With Me,9/24/05,17,36,16,38,-2,9/3/05,43,39,23,47,-8
Usher,U Don't Have To Call,6/29/02,14,28,12,37,-9,10/12/02,2,42,43,46,-4
Backstreet Boys,The One,8/5/00,11,24,12,31,-7,10/19/13,34,50,20,50,0
After 7,Kickin  It,10/3/92,40,0,1,40,New,10/31/92,6,19,18,39,-20
Immature,Never Lie,12/17/94,32,32,4,36,-4,12/17/94,5,45,23,50,-5
M.I.A.,Paper Planes,11/29/08,10,35,14,35,0,12/13/08,36,43,12,50,-7
Sean Paul,Gimme The Light,12/28/02,26,29,5,30,-1,3/8/03,3,45,47,49,-4
Rihanna Featuring Jeezy,Hard,3/27/10,9,39,16,39,0,3/20/10,14,44,18,48,-4
Divine,Lately,5/1/99,17,31,24,34,-3,12/15/12,15,47,18,43,4
Chris Brown,Run It!,4/29/06,1,19,29,19,0,3/11/06,1,35,36,42,-7
Mis-Teeq,Scandalous,8/28/04,11,34,17,40,-6,4/20/96,49,49,9,49,0
Christina Milian Featuring Young Jeezy,Say I,6/24/06,35,35,4,35,0,6/17/06,13,17,15,41,-24
Uncle Sam,I Don t Ever Want To See You Again,5/23/98,31,38,15,40,-2,6/20/98,22,42,33,44,-2
The 1975,Girls,10/18/14,40,28,9,33,-5,4/27/13,37,37,2,49,-12
Jennifer Lopez Featuring Styles & Jadakiss,Jenny From The Block,3/15/03,23,34,22,36,-2,1/11/03,22,44,14,47,-3
J. Cole Featuring TLC,Crooked Smile,12/7/13,27,33,10,35,-2,12/21/13,7,24,26,23,1
New Hollow,She Ain't You,5/24/14,36,37,3,36,1,11/26/11,5,37,35,49,-12
Fabolous Featuring The-Dream,Throw It In The Bag,11/7/09,33,33,7,37,-4,12/19/09,4,37,30,50,-13
OneRepublic,Good Life,10/8/11,18,12,23,15,-3,4/26/08,3,42,32,49,-7
Beyonce,If I Were A Boy,3/14/09,9,36,20,39,-3,1/31/09,16,26,15,36,-10
Jessie J Featuring 2 Chainz,Burnin' Up,1/3/15,28,28,7,38,-10,11/23/02,19,34,21,49,-15
Tony Toni Tone,Anniversary,12/11/93,20,32,8,37,-5,3/12/94,2,46,26,46,0
Def Leppard,Promises,7/31/99,38,38,2,38,0,11/22/14,34,50,10,50,0
Ester Dean Featuring Chris Brown,Drop It Low,11/7/09,32,32,7,32,0,11/21/09,33,43,13,48,-5
DJ Khaled Featuring Drake,For Free,10/1/16,26,29,12,35,-6,11/19/16,4,23,22,25,-2
Soul For Real,Every Little Thing I Do,11/4/95,25,39,15,40,-1,9/9/95,11,45,20,50,-5
Tinie Tempah Featuring Wiz Khalifa,Till I'm Gone,9/10/11,37,38,4,37,1,9/3/11,49,52,10,49,3
Destiny's Child,Bootylicious,9/22/01,6,34,15,38,-4,9/15/01,2,38,17,35,3
Lil Mama,Lip Gloss,7/28/07,40,0,1,40,New,6/16/07,36,43,13,45,-2
Drake,Best I Ever Had,11/21/09,10,33,20,35,-2,11/21/09,1,42,30,44,-2
Lupe Fiasco Featuring Matthew Santos,Superstar,5/24/08,14,38,15,40,-2,4/19/08,19,26,26,34,-8
"Nelly, P. Diddy & Murphy Lee",Shake Ya Tailfeather,12/27/03,1,22,26,23,-1,11/22/03,3,40,23,39,1
George Michael,Jesus To A Child,3/9/96,20,28,7,32,-4,3/16/96,22,35,14,43,-8
TLC,Red Light Special,7/15/95,11,32,16,39,-7,7/8/95,3,48,20,50,-2
Tory Lanez,Luv,12/17/16,19,38,16,36,2,12/10/16,34,15,22,19,-4
Beyonce,Naughty Girl,10/2/04,2,35,26,37,-2,7/17/04,8,30,20,48,-18
Starley,Call On Me,3/18/17,33,26,6,26,0,12/9/06,16,40,24,45,-5
Boyz II Men,On Bended Knee,5/6/95,1,29,26,35,-6,4/29/95,2,48,24,50,-2
Lil Wayne,How To Love,11/12/11,9,27,20,26,1,1/28/12,2,48,34,50,-2
Rihanna,Rude Boy,7/17/10,1,21,20,22,-1,8/21/10,2,38,26,49,-11
Rae Sremmurd Featuring Gucci Mane,Black Beatles,3/18/17,13,33,16,38,-5,3/11/17,1,10,28,9,1
Calvin Harris & Disciples,How Deep Is Your Love,12/26/15,16,35,20,35,0,2/27/99,1,35,22,45,-10
Justin Timberlake,Cry Me A River,5/10/03,3,33,22,38,-5,5/3/03,11,43,19,50,-7
The Game Featuring 50 Cent,Hate It Or Love It,8/6/05,16,33,18,40,-7,7/9/05,1,38,25,50,-12
Adam Lambert,If I Had You,11/6/10,16,27,18,37,-10,8/23/97,46,46,14,46,0
Jamie Foxx Featuring Ludacris,Unpredictable,4/8/06,27,30,8,38,-8,7/29/06,2,44,42,50,-6
Macklemore & Ryan Lewis Featuring ScHoolboy Q & Hollis,White Walls,3/1/14,31,26,20,33,-7,3/15/14,17,19,26,24,-5
The S.O.U.L. S.Y.S.T.E.M.,It s Gonna Be A Lovely Day,1/30/93,36,36,2,38,-2,2/27/93,44,47,14,50,-3
Eminem Featuring Lil Wayne,No Love,2/12/11,20,33,12,38,-5,2/7/15,17,27,20,30,-3
Three 6 Mafia Featuring Young Buck & Eightball & MJG,Stay Fly,2/18/06,23,33,12,40,-7,2/18/06,9,35,32,39,-4
Mariah Carey,Anytime You Need A Friend,10/22/94,5,37,22,38,-1,8/13/94,22,42,18,46,-4
Dream,He Loves U Not,4/7/01,3,19,26,17,2,1/20/01,15,23,8,40,-17
The Pussycat Dolls Featuring Timbaland,Wait A Minute,3/3/07,23,37,17,39,-2,9/8/01,32,37,20,44,-7
The Pussycat Dolls Featuring will.i.am,Beep,6/17/06,12,36,19,37,-1,5/2/09,7,34,29,41,-7
Az Yet Featuring Peter Cetera,Hard To Say I m Sorry,8/9/97,13,15,26,17,-2,6/28/97,31,39,20,45,-6
Bon Jovi,Real Life,4/17/99,40,0,1,40,Hot Shot Debut,10/17/15,23,50,5,48,2
Nicki Minaj,Your Love,9/18/10,22,31,8,37,-6,6/18/11,23,24,15,38,-14
Danity Kane,Show Stopper,1/27/07,12,34,18,34,0,11/18/06,33,39,11,43,-4
TLC,No Scrubs,8/28/99,1,27,26,28,-1,9/25/99,1,50,32,46,4
John Legend,All Of Me,8/2/14,1,14,24,15,-1,9/13/14,14,5,52,5,0
Natalie Featuring Baby Bash,Energy,7/23/05,36,38,5,37,1,9/19/15,21,20,26,24,-4
Will Smith Featuring Dru Hill,Wild Wild West,9/11/99,4,31,17,37,-6,8/28/99,3,22,20,40,-18
Los Lonely Boys,Heaven,10/9/04,36,31,22,36,-5,7/27/13,46,0,1,46,New
G-Eazy Featuring Marc E. Bassy,Some Kind Of Drug,3/4/17,39,0,3,39,Re-Entry,3/18/17,36,43,8,47,-4
